Race of victim,     Total,White,Black,Other,Unknown,Male,Female,Unknown
White victims,"3,643","3,036",504,44,59,"3,229",355,59
Black victims,"3,024",230,"2,722",9,63,"2,678",283,63
Other race victims,173,52,29,90,2,154,17,2
Unknown race,100,37,29,3,31,62,7,31
Sex of victim,     Total,White,Black,Other,Unknown,Male,Female,Unknown
Male victims,"4,909","2,150","2,563",93,103,"4,351",455,103
Female victims,"1,931","1,168",692,50,21,"1,710",200,21
Unknown sex,100,37,29,3,31,62,7,31
